sub,sess,run,trial_num,cond,task,RT,acc,mult_cond
110,Pre,1,14,3,sound,1.1025,1,multi-first
110,Pre,1,15,1,shape,0.91654,1,single
110,Pre,1,16,1,shape,0.65368,1,single
110,Pre,1,17,3,shape,1.9448,1,multi-second
110,Pre,1,17,3,sound,1.7808,1,multi-first
110,Pre,1,18,3,shape,1.254,1,multi-second
110,Pre,1,18,3,sound,1.062,1,multi-first
110,Pre,2,1,1,shape,0.87733,1,single
110,Pre,2,2,3,shape,1.8477,1,multi-second
110,Pre,2,2,3,sound,1.5637,1,multi-first
110,Pre,2,3,1,shape,0.94979,1,single
110,Pre,2,4,2,sound,1.5871,1,single
110,Pre,2,5,2,sound,0.96507,1,single
110,Pre,2,6,3,shape,1.3854,1,multi-second
110,Pre,2,6,3,sound,1.1494,1,multi-first
110,Pre,2,7,3,shape,1.5811,1,multi-second
110,Pre,2,7,3,sound,1.2381,1,multi-first
110,Pre,2,8,1,shape,0.87692,1,single
110,Pre,2,9,2,sound,1.1305,1,single
110,Pre,2,10,2,sound,0.96588,1,single
110,Pre,2,11,3,shape,1.5232,1,multi-second
110,Pre,2,11,3,sound,1.3562,1,multi-first
110,Pre,2,12,1,shape,0.90033,1,single
110,Pre,2,13,1,shape,0.83026,1,single
110,Pre,2,15,3,shape,1.9663,1,multi-second
110,Pre,2,15,3,sound,1.6353,1,multi-first
110,Pre,2,16,1,shape,0.81469,1,single
110,Pre,2,18,2,sound,1.2355,1,single
110,Pre,3,1,2,sound,0.86102,1,single
110,Pre,3,3,3,shape,1.5692,1,multi-second
110,Pre,3,3,3,sound,1.3812,1,multi-first
110,Pre,3,4,1,shape,0.7209,1,single
110,Pre,3,5,1,shape,0.76909,1,single
110,Pre,3,6,2,sound,1.2053,1,single
110,Pre,3,7,2,sound,1.0394,1,single
110,Pre,3,8,1,shape,0.9107,1,single
110,Pre,3,9,3,shape,1.4712,1,multi-second
110,Pre,3,9,3,sound,1.3473,1,multi-first
110,Pre,3,10,2,sound,1.2072,1,single
110,Pre,3,11,3,shape,1.9503,1,multi-second
110,Pre,3,11,3,sound,1.8103,1,multi-first
110,Pre,3,12,2,sound,1.2183,1,single
110,Pre,3,14,2,sound,1.2191,1,single
110,Pre,3,16,3,shape,1.4989,1,multi-second
110,Pre,3,16,3,sound,1.3209,1,multi-first
110,Pre,3,17,3,shape,1.6673,1,multi-second
110,Pre,3,17,3,sound,1.5133,1,multi-first
110,Pre,3,18,3,shape,1.5391,1,multi-second
110,Pre,3,18,3,sound,1.3691,1,multi-first
110,Pre,4,2,3,shape,1.7089,1,multi-second
110,Pre,4,2,3,sound,1.5409,1,multi-first
110,Pre,4,3,3,shape,1.7101,1,multi-second
110,Pre,4,3,3,sound,1.5741,1,multi-first
110,Pre,4,5,2,sound,0.90729,1,single
110,Pre,4,6,2,sound,1.0641,1,single
110,Pre,4,7,3,shape,1.302,1,multi-second
110,Pre,4,7,3,sound,1.174,1,multi-first
110,Pre,4,8,1,shape,0.85893,1,single
110,Pre,4,9,3,shape,1.4708,1,multi-second
110,Pre,4,9,3,sound,1.3258,1,multi-first
110,Pre,4,10,1,shape,1.213,1,single
110,Pre,4,11,1,shape,0.93395,1,single
110,Pre,4,12,1,shape,0.8482,1,single
110,Pre,4,14,2,sound,0.85109,1,single
110,Pre,4,15,2,sound,1.0629,1,single
110,Pre,4,16,1,shape,0.715,1,single
110,Pre,4,17,1,shape,0.83903,1,single
110,Pre,4,18,3,shape,1.5689,1,multi-second
110,Pre,4,18,3,sound,1.423,1,multi-first
110,Pre,5,1,3,shape,1.3717,1,multi-second
110,Pre,5,1,3,sound,1.1267,1,multi-first
110,Pre,5,2,2,sound,1.1185,1,single
110,Pre,5,3,2,sound,0.93224,1,single
110,Pre,5,5,3,shape,1.672,1,multi-second
110,Pre,5,5,3,sound,1.417,1,multi-first
110,Pre,5,6,1,shape,0.82443,1,single
110,Pre,5,7,1,shape,0.75628,1,single
110,Pre,5,8,2,sound,0.96691,1,single
110,Pre,5,9,3,shape,1.612,1,multi-second
110,Pre,5,9,3,sound,1.334,1,multi-first
110,Pre,5,10,1,shape,1.0355,1,single
110,Pre,5,11,3,shape,2.1833,1,multi-second
110,Pre,5,11,3,sound,1.9743,1,multi-first
110,Pre,5,12,2,sound,1.3581,1,single
110,Pre,5,13,3,shape,1.3546,1,multi-second
110,Pre,5,13,3,sound,1.1916,1,multi-first
110,Pre,5,14,2,sound,0.78063,1,single
110,Pre,5,15,1,shape,0.88227,1,single
110,Pre,5,16,2,sound,0.92014,1,single
110,Pre,5,17,1,shape,0.97068,1,single
110,Pre,5,18,1,shape,0.65843,1,single
110,Pre,6,1,1,shape,0.7704,1,single
110,Pre,6,2,2,sound,1.0796,1,single
110,Pre,6,3,1,shape,0.64636,1,single
110,Pre,6,4,1,shape,0.61036,1,single
110,Pre,6,5,3,shape,1.9036,1,multi-second
110,Pre,6,5,3,sound,1.7546,1,multi-first
110,Pre,6,6,3,shape,1.151,1,multi-second
110,Pre,6,6,3,sound,1.0171,1,multi-first
110,Pre,6,7,3,shape,1.5316,1,multi-second
110,Pre,6,7,3,sound,1.3827,1,multi-first
110,Pre,6,8,2,sound,1.0592,1,single
110,Pre,6,9,2,sound,0.9162,1,single
110,Pre,6,10,2,sound,0.87212,1,single
110,Pre,6,11,3,shape,1.6681,1,multi-second
110,Pre,6,11,3,sound,1.5731,1,multi-first
110,Pre,6,12,3,shape,1.5352,1,multi-second
110,Pre,6,12,3,sound,1.4112,1,multi-first
110,Pre,6,14,2,sound,1.0347,1,single
110,Pre,6,15,2,sound,0.67338,1,single
110,Pre,6,16,1,shape,0.80434,1,single
110,Pre,6,17,1,shape,0.71701,1,single
110,Pre,6,18,1,shape,0.69707,1,single
111,Pre,1,1,1,shape,1.188,1,single
111,Pre,1,2,3,shape,0.69676,1,multi-first
111,Pre,1,2,3,sound,1.7598,1,multi-second
111,Pre,1,3,1,shape,0.65983,1,single
111,Pre,1,4,1,shape,1.0106,1,single
111,Pre,1,5,3,shape,1.3869,1,multi-first
111,Pre,1,5,3,sound,1.3949,1,multi-second
