sub,sess,run,trial_num,cond,shape_stim,shape_resp,shape_RT,shape_acc,sound_stim,sound_resp,sound_RT,sound_acc
109,1,2,17,3,2,2,2.0394,1,1,1,1.6114,1
109,1,2,18,1,1,1,1.1365,1,NaN,0,NaN,0
109,1,3,1,2,NaN,0,NaN,0,1,1,1.0822,1
109,1,3,2,3,1,1,1.4303,1,2,2,0.93026,1
109,1,3,3,1,1,1,0.98321,1,NaN,0,NaN,0
109,1,3,4,2,NaN,0,NaN,0,2,2,1.1303,1
109,1,3,5,2,NaN,0,NaN,0,2,2,0.93103,1
109,1,3,6,1,2,2,1.1162,1,NaN,0,NaN,0
109,1,3,7,3,1,1,1.5263,1,2,2,1.0623,1
109,1,3,8,2,NaN,0,NaN,0,1,1,0.95223,1
109,1,3,9,1,1,0,-2772.8,0,NaN,0,NaN,0
109,1,3,10,1,2,2,0.78686,1,NaN,0,NaN,0
109,1,3,11,1,2,2,0.78603,1,NaN,0,NaN,0
109,1,3,12,2,NaN,0,NaN,0,1,1,1.1393,1
109,1,3,13,3,2,2,1.5901,1,2,2,1.1851,1
109,1,3,14,2,NaN,0,NaN,0,1,1,0.94306,1
109,1,3,15,1,2,2,0.91703,1,NaN,0,NaN,0
109,1,3,16,3,1,1,1.8657,1,1,1,1.2747,1
109,1,3,17,3,1,1,1.3732,1,1,1,0.86219,1
109,1,3,18,3,2,2,1.3882,1,2,2,1.1013,1
109,1,4,1,2,NaN,0,NaN,0,2,2,1.5448,1
109,1,4,2,1,2,2,1.2401,1,NaN,0,NaN,0
109,1,4,3,2,NaN,0,NaN,0,1,1,3.4391,1
109,1,4,4,3,1,1,1.2831,1,1,1,0.90709,1
109,1,4,5,1,1,1,0.99477,1,NaN,0,NaN,0
109,1,4,6,3,1,1,1.5751,1,2,2,1.043,1
109,1,4,7,2,NaN,0,NaN,0,1,1,1.1712,1
109,1,4,8,2,NaN,0,NaN,0,2,2,0.89106,1
109,1,4,9,3,1,1,1.4656,1,1,1,0.87063,1
109,1,4,10,2,NaN,0,NaN,0,2,2,1.1258,1
109,1,4,11,3,1,1,1.536,1,2,2,1.063,1
109,1,4,12,3,2,2,1.5298,1,1,1,1.1198,1
109,1,4,13,3,2,2,1.6871,1,1,1,1.3121,1
109,1,4,14,1,2,2,0.86807,1,NaN,0,NaN,0
109,1,4,15,1,1,1,0.82663,1,NaN,0,NaN,0
109,1,4,16,1,2,2,1.009,1,NaN,0,NaN,0
109,1,4,17,2,NaN,0,NaN,0,2,2,1.1757,1
109,1,4,18,1,2,2,1.0588,1,NaN,0,NaN,0
109,1,5,1,2,NaN,0,NaN,0,1,1,0.87309,1
109,1,5,2,2,NaN,0,NaN,0,1,1,0.73165,1
109,1,5,3,1,1,1,1.7398,1,NaN,0,NaN,0
109,1,5,4,1,2,2,0.65516,1,NaN,0,NaN,0
109,1,5,5,2,NaN,0,NaN,0,2,2,1.1475,1
109,1,5,6,1,2,2,1.7735,1,NaN,0,NaN,0
109,1,5,7,2,NaN,0,NaN,0,2,2,1.1128,1
109,1,5,8,3,2,2,1.7543,1,2,2,1.4713,1
109,1,5,9,3,2,2,1.2003,1,1,1,0.86226,1
109,1,5,10,1,1,1,1.3171,1,NaN,0,NaN,0
109,1,5,11,3,2,2,1.5942,1,2,2,1.2102,1
109,1,5,12,2,NaN,0,NaN,0,2,2,1.0042,1
109,1,5,13,1,1,1,0.91814,1,NaN,0,NaN,0
109,1,5,14,3,2,2,1.5763,1,1,1,1.0773,1
109,1,5,15,2,NaN,0,NaN,0,1,1,0.85818,1
109,1,5,16,3,1,1,1.5977,1,2,2,1.2157,1
109,1,5,17,1,1,1,0.93438,1,NaN,0,NaN,0
109,1,5,18,3,1,1,1.8296,1,1,1,1.2996,1
109,1,6,1,2,NaN,0,NaN,0,1,1,1.0567,1
109,1,6,2,3,2,2,1.4176,1,2,2,1.0026,1
109,1,6,3,3,1,1,1.4336,1,2,2,1.0326,1
109,1,6,4,1,1,1,0.74629,1,NaN,0,NaN,0
109,1,6,5,1,2,2,0.83519,1,NaN,0,NaN,0
109,1,6,6,2,NaN,0,NaN,0,2,2,1.0682,1
109,1,6,7,1,1,1,0.78422,1,NaN,0,NaN,0
109,1,6,8,1,1,1,0.59899,1,NaN,0,NaN,0
109,1,6,9,3,2,2,1.7011,1,1,1,1.1581,1
109,1,6,10,2,NaN,0,NaN,0,2,2,0.95112,1
109,1,6,11,2,NaN,0,NaN,0,1,1,0.77293,1
109,1,6,12,1,2,2,0.79202,1,NaN,0,NaN,0
109,1,6,13,2,NaN,0,NaN,0,2,2,0.95411,1
109,1,6,14,3,1,0,-4111.5,0,2,2,1.3503,1
109,1,6,15,2,NaN,0,NaN,0,1,1,0.66517,1
109,1,6,16,3,2,2,1.9171,1,1,1,1.4901,1
109,1,6,17,3,2,2,1.6843,1,1,1,1.1153,1
109,1,6,18,1,1,1,1.029,1,NaN,0,NaN,0
110,1,1,1,3,1,1,2.3207,1,1,1,1.7757,1
110,1,1,2,1,1,1,1.3216,1,NaN,0,NaN,0
110,1,1,3,3,2,2,1.7258,1,1,1,1.5208,1
110,1,1,4,2,NaN,0,NaN,0,1,1,1.3199,1
110,1,1,5,2,NaN,0,NaN,0,2,2,1.2611,1
110,1,1,6,2,NaN,0,NaN,0,2,2,1.0036,1
110,1,1,7,1,2,2,1.0726,1,NaN,0,NaN,0
110,1,1,8,1,2,2,0.79828,1,NaN,0,NaN,0
110,1,1,9,2,NaN,0,NaN,0,2,2,1.0744,1
110,1,1,10,3,1,1,1.8615,1,2,2,1.6085,1
110,1,1,11,2,NaN,0,NaN,0,1,1,1.3774,1
110,1,1,12,1,1,1,1.1151,1,NaN,0,NaN,0
110,1,1,13,2,NaN,0,NaN,0,2,2,1.1066,1
110,1,1,14,3,2,2,1.2775,1,2,2,1.1025,1
110,1,1,15,1,1,1,0.91654,1,NaN,0,NaN,0
110,1,1,16,1,2,2,0.65368,1,NaN,0,NaN,0
110,1,1,17,3,1,1,1.9448,1,1,1,1.7808,1
110,1,1,18,3,2,2,1.254,1,1,1,1.062,1
110,1,2,1,1,1,1,0.87733,1,NaN,0,NaN,0
110,1,2,2,3,1,1,1.8477,1,1,1,1.5637,1
110,1,2,3,1,1,1,0.94979,1,NaN,0,NaN,0
110,1,2,4,2,NaN,0,NaN,0,1,1,1.5871,1
110,1,2,5,2,NaN,0,NaN,0,2,2,0.96507,1
110,1,2,6,3,2,2,1.3854,1,2,2,1.1494,1
110,1,2,7,3,1,1,1.5811,1,2,2,1.2381,1
110,1,2,8,1,2,2,0.87692,1,NaN,0,NaN,0
110,1,2,9,2,NaN,0,NaN,0,1,1,1.1305,1
110,1,2,10,2,NaN,0,NaN,0,2,2,0.96588,1
110,1,2,11,3,2,2,1.5232,1,1,1,1.3562,1
110,1,2,12,1,2,2,0.90033,1,NaN,0,NaN,0
110,1,2,13,1,2,2,0.83026,1,NaN,0,NaN,0
110,1,2,14,2,NaN,0,NaN,0,2,1,1.3213,0
110,1,2,15,3,1,1,1.9663,1,1,1,1.6353,1
110,1,2,16,1,2,2,0.81469,1,NaN,0,NaN,0
110,1,2,17,3,1,2,1.3554,0,2,2,1.1333,1
110,1,2,18,2,NaN,0,NaN,0,1,1,1.2355,1
110,1,3,1,2,NaN,0,NaN,0,1,1,0.86102,1
110,1,3,2,1,1,2,0.86039,0,NaN,0,NaN,0
110,1,3,3,3,2,2,1.5692,1,2,2,1.3812,1
110,1,3,4,1,2,2,0.7209,1,NaN,0,NaN,0
110,1,3,5,1,2,2,0.76909,1,NaN,0,NaN,0
110,1,3,6,2,NaN,0,NaN,0,2,2,1.2053,1
110,1,3,7,2,NaN,0,NaN,0,2,2,1.0394,1
110,1,3,8,1,2,2,0.9107,1,NaN,0,NaN,0
110,1,3,9,3,2,2,1.4712,1,1,1,1.3473,1
110,1,3,10,2,NaN,0,NaN,0,2,2,1.2072,1
110,1,3,11,3,1,1,1.9503,1,1,1,1.8103,1
110,1,3,12,2,NaN,0,NaN,0,2,2,1.2183,1
110,1,3,13,1,1,2,0.98112,0,NaN,0,NaN,0
110,1,3,14,2,NaN,0,NaN,0,1,1,1.2191,1
110,1,3,15,1,1,1,1.3973,1,NaN,0,NaN,0
110,1,3,16,3,2,2,1.4989,1,1,1,1.3209,1
110,1,3,17,3,1,1,1.6673,1,1,1,1.5133,1
110,1,3,18,3,1,1,1.5391,1,2,2,1.3691,1
110,1,4,1,3,1,1,2.6926,1,2,2,2.5766,1
110,1,4,2,3,2,2,1.7089,1,2,2,1.5409,1
110,1,4,3,3,2,2,1.7101,1,1,1,1.5741,1
110,1,4,4,2,NaN,0,NaN,0,2,2,2.0236,1
110,1,4,5,2,NaN,0,NaN,0,2,2,0.90729,1
110,1,4,6,2,NaN,0,NaN,0,2,2,1.0641,1
110,1,4,7,3,2,2,1.302,1,2,2,1.174,1
110,1,4,8,1,2,2,0.85893,1,NaN,0,NaN,0
110,1,4,9,3,1,1,1.4708,1,1,1,1.3258,1
110,1,4,10,1,1,1,1.213,1,NaN,0,NaN,0
110,1,4,11,1,1,1,0.93395,1,NaN,0,NaN,0
110,1,4,12,1,1,1,0.8482,1,NaN,0,NaN,0
110,1,4,13,2,NaN,0,NaN,0,1,1,2.2039,1
110,1,4,14,2,NaN,0,NaN,0,1,1,0.85109,1
110,1,4,15,2,NaN,0,NaN,0,1,1,1.0629,1
110,1,4,16,1,2,2,0.715,1,NaN,0,NaN,0
110,1,4,17,1,2,2,0.83903,1,NaN,0,NaN,0
110,1,4,18,3,1,1,1.5689,1,1,1,1.423,1
110,1,5,1,3,1,1,1.3717,1,2,2,1.1267,1
110,1,5,2,2,NaN,0,NaN,0,1,1,1.1185,1
110,1,5,3,2,NaN,0,NaN,0,2,2,0.93224,1
110,1,5,4,3,1,1,2.7348,1,2,2,2.4608,1
110,1,5,5,3,1,1,1.672,1,1,1,1.417,1
110,1,5,6,1,2,2,0.82443,1,NaN,0,NaN,0
110,1,5,7,1,2,2,0.75628,1,NaN,0,NaN,0
110,1,5,8,2,NaN,0,NaN,0,1,1,0.96691,1
110,1,5,9,3,1,1,1.612,1,2,2,1.334,1
110,1,5,10,1,2,2,1.0355,1,NaN,0,NaN,0
110,1,5,11,3,2,2,2.1833,1,2,2,1.9743,1
110,1,5,12,2,NaN,0,NaN,0,2,2,1.3581,1
110,1,5,13,3,1,1,1.3546,1,1,1,1.1916,1
110,1,5,14,2,NaN,0,NaN,0,1,1,0.78063,1
110,1,5,15,1,1,1,0.88227,1,NaN,0,NaN,0
110,1,5,16,2,NaN,0,NaN,0,1,1,0.92014,1
110,1,5,17,1,2,2,0.97068,1,NaN,0,NaN,0
110,1,5,18,1,2,2,0.65843,1,NaN,0,NaN,0
110,1,6,1,1,1,1,0.7704,1,NaN,0,NaN,0
110,1,6,2,2,NaN,0,NaN,0,2,2,1.0796,1
110,1,6,3,1,2,2,0.64636,1,NaN,0,NaN,0
110,1,6,4,1,2,2,0.61036,1,NaN,0,NaN,0
110,1,6,5,3,1,1,1.9036,1,2,2,1.7546,1
